Account address,Show boosts,Notify on new posts,Languages
jejord@flipboard.social,True,False,
InfoSecSherpa@infosec.exchange,True,False,
BishopFox@infosec.exchange,True,False,
gcluley@mastodon.green,True,False,
avoidthehack@infosec.exchange,True,False,
kpwn@infosec.exchange,True,False,
accidentalciso@infosec.exchange,True,False,
ChocolateCoat@infosec.exchange,True,False,
LeeArchinal@ioc.exchange,True,False,
evawolfangel@chaos.social,True,False,
bsi@social.bund.de,True,False,
mttaggart@infosec.exchange,True,False,
teksquisite@infosec.exchange,True,False,
MatthewRosenquist@infosec.exchange,True,False,
rfwaveio@mstdn.ca,True,False,
bkdelong@infosec.exchange,True,False,
Cyberkid1987@defcon.social,True,False,
spiegelmama@infosec.exchange,True,False,
adamshostack@infosec.exchange,True,False,
limacharlieio@infosec.exchange,True,False,
bsideschicago@infosec.exchange,True,False,
CySecurityNews@ioc.exchange,True,False,
YourAnonRiots@mstdn.social,True,False,
jmamblat@infosec.exchange,True,False,
mikebabcock@floss.social,True,False,
falconfeedsio@mastodon.social,True,False,
ju916@chaos.social,True,False,
SnoozyRests@infosec.exchange,True,False,
0x58@infosec.exchange,True,False,
beyondmachines1@infosec.exchange,True,False,
Kaspersky@ioc.exchange,True,False,
KO6YQ@sfba.social,True,False,
iagox86@infosec.exchange,True,False,
keithjjones@infosec.exchange,True,False,
AAKL@noc.social,True,False,
akaBeakman@infosec.exchange,True,False,
mysk@defcon.social,True,False,
eclecticpassions@fosstodon.org,True,False,
nw@ioc.exchange,True,False,
securestep9@infosec.exchange,True,False,
BlueTeamCon@infosec.exchange,True,False,
applsec@infosec.exchange,True,False,
simonroses@infosec.exchange,True,False,
sharedsecurity@infosec.exchange,True,False,
PogoWasRight@infosec.exchange,True,False,
mw@infosec.exchange,True,False,
johnchiment@infosec.exchange,True,False,
jasonelrod@infosec.exchange,True,False,
CyberSecCanon@infosec.exchange,True,False,
deltatux@infosec.town,True,False,
remixtures@tldr.nettime.org,True,False,
malwaretech@infosec.exchange,True,False,
H3liumb0y@infosec.exchange,True,False,
Edent@mastodon.social,True,False,
myraccoonhands@infosec.exchange,True,False,
SI_FalconTeam@infosec.exchange,True,False,
gadgetry@techhub.social,True,False,
Newk@infosec.exchange,True,False,
unnoticeably_capricious@infosec.exchange,True,False,
signalblur@infosec.exchange,True,False,
secflux@infosec.exchange,True,False,
CyberSec84@infosec.exchange,True,False,
0ddj0bb@infosec.exchange,True,False,
shellsharks@infosec.exchange,True,False,
bsideskc@infosec.exchange,True,False,
sassdawe@infosec.exchange,True,False,
joho@mastodon.online,True,False,
defcon201@hostux.social,True,False,
blacksincyber@infosec.exchange,True,False,
tib3rius@infosec.exchange,True,False,
deltatux@mstdn.ca,True,False,
ServersOnFire@infosec.exchange,True,False,
reginagrogan@mastodon.social,True,False,
thedarktangent@defcon.social,True,False,
securityonion@infosec.exchange,True,False,
Ruth_Mottram@fediscience.org,True,False,
betwixt_5scen@ioc.exchange,True,False,
thegl1tch@infosec.exchange,True,False,
wade@infosec.exchange,True,False,
chiefgyk3d@social.chiefgyk3d.com,True,False,
SheHacksPurple@infosec.exchange,True,False,
cyberpeaceinstitute@mastodon.cyberpeaceinstitute.org,True,False,
dszp@infosec.exchange,True,False,
bsidesorlando@infosec.exchange,True,False,
mmcd@infosec.exchange,True,False,
swiefling@hci.social,True,False,
sycophantic@infosec.exchange,True,False,
taeluralexis@infosec.exchange,True,False,
satharus@infosec.exchange,True,False,
edbro,True,False,
ImPureMotion@infosec.exchange,True,False,
enisa_eu@respublicae.eu,True,False,
dumbpasswordrules@botsin.space,True,False,
hackdefendr@infosec.place,True,False,
cienmilojos@infosec.exchange,True,False,
avoidthehack@mastodon.social,True,False,
jesse_cail@infosec.exchange,True,False,
gleeda@infosec.exchange,True,False,
infosec_jobs@mastodon.social,True,False,
DavidJBianco@infosec.exchange,True,False,
geekmasher@infosec.exchange,True,False,
cstromblad@ioc.exchange,True,False,
adminkirsty@infosec.exchange,True,False,
livinginsyn@infosec.exchange,True,False,
EncryptedFence@mastodon.social,True,False,
Cali@infosec.exchange,True,False,
gtbarry@mastodon.social,True,False,
emkingma@mstdn.social,True,False,
afb@fosstodon.org,True,False,
r1cksec@infosec.exchange,True,False,
RichBartlett@infosec.exchange,True,False,
tomatospy@infosec.exchange,True,False,
omeraltundal@infosec.exchange,True,False,
geneticsmademedoit@mastodon.social,True,False,
diker@mstdn.ca,True,False,
aemaeth@infosec.exchange,True,False,
AnthonyCollette@infosec.exchange,True,False,
Raj_Samani@ioc.exchange,True,False,
Tbrzl@infosec.exchange,True,False,
dlilja@infosec.exchange,True,False,
Schneier_rss@burn.capital,True,False,
ac_intel@infosec.exchange,True,False,
Storesteinen@infosec.exchange,True,False,
todb@infosec.exchange,True,False,
bsideskbh@infosec.exchange,True,False,
cyb_detective@infosec.exchange,True,False,
keefer@infosec.exchange,True,False,
jax@cloudhub.social,True,False,
taosecurity@infosec.exchange,True,False,
jsrailton@mastodon.social,True,False,
mattburgess@infosec.exchange,True,False,
cyberfeed@mstdn.social,True,False,
paulasadoorian@infosec.exchange,True,False,
shortridge@hachyderm.io,True,False,
BSidesCambridgeMA@infosec.exchange,True,False,
biptoot@mas.to,True,False,
siggib@infosec.exchange,True,False,
eric_capuano@infosec.exchange,True,False,
euractiv@masto.ai,True,False,
meriksson,True,False,
lennyzeltser@infosec.exchange,True,False,
axi0kers0s@infosec.exchange,True,False,
0xor0ne@infosec.exchange,True,False,
