Account address,Show boosts,Notify on new posts,Languages
lemay@mastodon.social,True,False,
irisRichardson@mastodon.art,True,False,
DrTCombs@transportation.social,True,False,
GPJohnston@mastodon.social,True,False,
hag@rage.love,True,False,
me@benedikts.social,True,False,
robyn@yeg.bike,True,False,
greengaybles@wandering.shop,True,False,
BoomlandJenkins@mastodon.social,True,False,
JenJen@mastodon.art,True,False,
shekinahcancook@babka.social,True,False,
Kai@puppo.space,True,False,
tippitiwichet@mastodon.social,True,False,
slanderoid@goblin.camp,True,False,
SJHoodlet@writing.exchange,True,False,
jessica@cutie.city,True,False,
SharonCummingsArt@socel.net,True,False,
MelsGarden@universeodon.com,True,False,
tsouthard@mastodon.social,True,False,
skolima@hachyderm.io,True,False,
rnatale@mstdn.social,True,False,
StudioCaroline@mastodon.social,True,False,
earthchild@mastodon.social,True,False,
Rasta@mstdn.ca,True,False,
NatureMC@mastodon.online,True,False,
robcornelius@climatejustice.rocks,True,False,
Fragglemuppet@fandom.ink,True,False,
LifeTimeCooking@mastodon.au,True,False,
3DBill@mstdn.social,True,False,
Red_Shirt_Dude@mastodon.social,True,False,
EricBranse@mastodon.scot,True,False,
jason@fouroclockfarms.club,True,False,
MKSinSA@vivaldi.net,True,False,
GardenerPodcast@mindly.social,True,False,
cathyginter@universeodon.com,True,False,
UpstartCrow@universeodon.com,True,False,
NessaUndreza@aus.social,True,False,
EgyptianAphorist@mindly.social,True,False,
DebOppermann@photog.social,True,False,
mammut@universeodon.com,True,False,
ejodlowska@infosec.exchange,True,False,
KarenKasparArt@socel.net,True,False,
BjornIdle@mastodonapp.uk,True,False,
keira_reckons@aus.social,True,False,
BardfromtheBookshop@toot.community,True,False,
SrRochardBunson@universeodon.com,True,False,
breakingtaps@universeodon.com,True,False,
