Account address,Show boosts,Notify on new posts,Languages
stuffjolikes@climatejustice.social,True,False,
KeithDJohnson@sfba.social,True,False,
AgroecologyMap@mas.to,True,False,
memexikon@mastodon.social,True,False,
SrRochardBunson@universeodon.com,True,False,
WJGunning@aus.social,True,False,
UnconventionalEmma@spore.social,True,False,
drifthood@aus.social,True,False,
pvonhellermannn@mastodon.green,True,False,
Clarity@c.im,True,False,
brad@toad.city,True,False,
notes@social.coop,True,False,
imklg@faf.social,True,False,
rachelwilliams@hachyderm.io,True,False,
xian@hachyderm.io,True,False,
AnneleiseHall@mastodon.nz,True,False,
shaninthewoods@oceanplayground.social,True,False,
nicolas_rinck@piaille.fr,True,False,
Yankeepapa13@toot.community,True,False,
Nutsine@mas.to,True,False,
ASquareClaire@infosec.exchange,True,False,
alexstandiford@fosstodon.org,True,False,
glytch@mastodon.coffee,True,False,
dennyhenke@social.coop,True,False,
axwax@fosstodon.org,True,False,
NunyaBidness@bitcoinhackers.org,True,False,
